goal_number,date,team,opponent,competition,is_home,assist_player,shot_x,shot_y,body_part,goal_type,finish_type,milestone
26,2007-06-05,Argentina,Algeria,IF,1,unknown,9,52,1,0,,
27,2007-06-09,FCBarcelona,Espanyol,LL,1,Pedro,4,54,3,0,,hand of god?
28,2007-06-09,FCBarcelona,Espanyol,LL,1,Deco,6,63,2,0,,
29,2007-06-17,FCBarcelona,Gimnastic,LL,0,unknown,18,61,1,0,,
30,2007-06-18,FCBarcelona,Gimnastic,LL,0,none,1,47,1,0,tap-in,
31,2007-07-09,Argentina,Peru,CA,1,Riquelme,7,62,1,0,,
32,2007-07-12,Argentina,Mexico,CA,0,Riquelme,11,66,1,0,chip,
33,2007-09-19,FCBarcelona,Lyon,CL,1,Iniesta,13,58,1,0,,
34,2007-09-22,FCBarcelona,Sevilla,LL,0,Henry,9,53,1,0,,
35,2007-09-22,FCBarcelona,Sevilla,LL,0,dos Santos,11,50,1,1,,
36,2007-09-26,FCBarcelona,Real Zaragoza,LL,1,Henry,18,55,1,0,,
37,2007-09-26,FCBarcelona,Real Zaragoza,LL,1,Deco,13,54,1,0,,
38,2007-09-29,FCBarcelona,Levante,LL,0,none,4,62,1,0,,
39,2007-10-02,FCBarcelona,Stuttgart,CL,0,Henry,8,55,2,0,,
40,2007-10-07,FCBarcelona,Atletico Madrid,LL,1,Ronaldinho,9,34,1,0,,
41,2007-10-17,Argentina,Venezuela,WCQ,0,Tevez,19,61,1,0,,
42,2007-10-28,FCBarcelona,Almeria,LL,1,dos Santos,11,50,1,1,,
43,2007-11-07,FCBarcelona,Rangers,CL,1,none,9,43,1,0,,
44,2007-11-21,FCBarcelona,Colombia,WCQ,0,unknown,8,37,1,0,,
45,2007-11-24,FCBarcelona,Recreative de Huelva,LL,1,none,11,50,1,1,,
46,2007-11-27,FCBarcelona,Lyon,CL,0,Messi,11,50,1,1,,
47,2008-02-20,FCBarcelona,Celtic,CL,1,Deco,8,65,1,0,,
48,2008-02-20,FCBarcelona,Celtic,CL,1,Etoo,8,57,1,0,,
49,2008-02-24,FCBarcelona,Levante,LL,1,Xavi,15,60,1,0,,
50,2008-05-04,FCBarcelona,Valencia,LL,1,Messi,11,50,1,1,,
51,2008-06-05,Argentina,Mexico,IF,0,Cruz,9,51,1,0,,
52,2008-09-13,FCBarcelona,Racing Santander,LL,1,none,11,50,1,1,,
53,2008-09-21,FCBarcelona,Sporting Gijon,LL,0,Iniesta,7,58,1,0,,
54,2008-09-21,FCBarcelona,Sporting Gijon,LL,0,Xavi,9,45,3,0,,
55,2008-09-27,FCBarcelona,Espanyol,LL,0,Etoo,11,50,1,1,,
56,2008-10-01,FCBarcelona,Shaktar Donetsk,CL,0,none,3,49,2,0,tap-in,
57,2008-10-01,FCBarcelona,Shaktar Donetsk,CL,0,Xavi,7,35,2,0,,
58,2008-10-04,FCBarcelona,Atletico Madrid,LL,1,none,22,68,1,2,,
59,2008-10-11,Argentina,Uruguay,WCQ,1,Riquelme,7,54,3,0,,
60,2008-10-22,FCBarcelona,Basel,CL,0,Alves,4,42,1,0,,
61,2008-11-01,FCBarcelona,Malaga,LL,0,none,6,69,1,0,,
62,2008-11-04,FCBarcelona,Basel,CL,1,Henry,17,43,1,0,,
63,2008-11-12,FCBarcelona,Benidorm,CDR,1,none,2,48,1,0,,
64,2008-11-16,FCBarcelona,Recreative de Huelva,LL,0,Xavi,9,34,1,0,,
65,2008-11-26,FCBarcelona,Sporting Lisbon,CL,1,Alves,13,61,1,0,,
66,2008-11-29,FCBarcelona,Sevilla,LL,0,Xavi,18,45,1,0,,
67,2008-11-29,FCBarcelona,Sevilla,LL,0,Hleb,12,21,1,0,,
68,2008-12-13,FCBarcelona,Real Madrid,LL,1,Henry,9,35,1,0,,
69,2009-01-06,FCBarcelona,Atletico Madrid,CDR,0,Alves,9,67,1,0,,
70,2009-01-06,FCBarcelona,Atletico Madrid,CDR,0,none,11,50,1,1,,
71,2009-01-06,FCBarcelona,Atletico Madrid,CDR,0,Iniesta,8,58,2,0,,
72,2009-01-11,FCBarcelona,Osasuna,LL,0,none,19,58,1,0,,
73,2009-01-17,FCBarcelona,Deportivo La Coruna,LL,1,Xavi,15,45,1,0,,
74,2009-01-24,FCBarcelona,Numancia,LL,1,Alves,4,56,1,0,,
75,2009-01-24,FCBarcelona,Numancia,LL,1,none,4,56,2,0,,
76,2009-02-01,FCBarcelona,Racing Santander,LL,1,none,4,61,2,0,rebound,
77,2009-02-01,FCBarcelona,Racing Santander,LL,1,none,8,66,2,0,,
78,2009-02-11,Argentina,France,IF,0,Tevez,13,33,1,0,,
79,2009-03-01,FCBarcelona,Atletico Madrid,LL,0,Henry,8,37,1,0,,
80,2009-03-04,FCBarcelona,Mallorca,CDR,0,none,13,54,1,0,chip,
81,2009-03-07,FCBarcelona,Athletic Club,LL,1,none,11,50,1,1,,
82,2009-03-11,FCBarcelona,Lyon,CL,1,Etoo,12,58,1,0,,
83,2009-03-22,FCBarcelona,Malaga,LL,1,none,7,59,1,0,solo,
84,2009-03-28,Argentina,Venezuela,WCQ,1,Tevez,8,59,1,0,,
85,2009-04-08,FCBarcelona,Bayern Munich,CL,1,Etoo,9,57,1,0,,
86,2009-04-08,FCBarcelona,Bayern Munich,CL,1,Henry,2,45,2,0,,
87,2009-04-18,FCBarcelona,Getafe,LL,0,Xavi,5,41,1,0,,
88,2009-04-25,FCBarcelona,Valencia,LL,0,Iniesta,8,48,1,0,,
89,2009-05-02,FCBarcelona,Real Madrid,LL,0,none,9,57,1,0,,
90,2009-05-02,FCBarcelona,Real Madrid,LL,0,Xavi,5,55,1,0,,
91,2009-05-13,FCBarcelona,Athletic Club,LL,1,none,10,48,1,0,,
92,2009-05-27,FCBarcelona,Man United,CL,0,Xavi,7,56,3,0,Final,
93,2009-08-23,FCBarcelona,Athletic Club,Spanish SC,1,none,3,66,2,0,chip,
94,2009-08-23,FCBarcelona,Athletic Club,Spanish SC,1,none,11,50,1,1,,
95,2009-09-12,FCBarcelona,Getafe,LL,0,Ibra,7,57,3,0,,
96,2009-09-19,FCBarcelona,Atletico Madrid,LL,1,Xavi,6,50,1,0,,
97,2009-09-19,FCBarcelona,Atletico Madrid,LL,1,Alves,14,60,2,0,,
